,Metro Area,Median Home Price,% Change  1 Year,% Change  Since Peak*,% Change  Since Bottom†,Affordability Index,City
78,"Riverside-San Bernardino, Calif.",393000,13.4,-3.1,111.1,10,Riverside-San Bernardino
79,"Rochester, N.Y.",153000,16.9,44.4,60.3,3,Rochester
80,"Sacramento, Calif.",446000,7.6,12.6,115.0,8,Sacramento
81,"Salt Lake City, Utah",335000,-17.9,27.1,58.3,8,Salt Lake City
82,"San Antonio, Texas",175000,-1.7,44.3,55.6,7,San Antonio
83,"San Diego, Calif.",620000,11.5,22.3,91.2,10,San Diego
84,"San Francisco, Calif.",930000,9.5,31.7,110.3,10,San Francisco
85,"San Jose, Calif.",1160000,16.2,58.2,117.5,10,San Jose
86,"Scranton-Wilkes-Barre, Pa.",113050,6.3,-2.2,43.1,2,Scranton-Wilkes-Barre
87,"Seattle, Wash.",525000,12.8,47.5,117.2,9,Seattle
88,"Spokane, Wash.",280000,-3.8,41.0,65.7,8,Spokane
89,"Springfield, Mass.",217500,10.8,18.1,67.9,6,Springfield
90,"St. Louis, Mo.",166000,8.9,-3.3,58.1,3,St. Louis
91,"Stockton, Calif.",400000,13.2,-0.8,147.7,10,Stockton
92,"Tampa, Fla.",229900,7.1,-3.7,105.7,5,Tampa
93,"Toledo, Ohio",134000,6.9,2.5,66.8,1,Toledo
94,"Tucson, Ariz.",229000,11.5,-1.0,74.6,6,Tucson
95,"Tulsa, Okla.",169000,7.9,23.4,37.8,2,Tulsa
96,"Virginia Beach, Va.",250000,9.7,-5.3,34.9,9,Virginia Beach
97,"Washington, D.C.-No. Va.",435000,8.7,-1.2,45.5,8,Washington
98,"Winston-Salem, N.C.",165000,12.1,22.7,55.6,3,Winston-Salem
99,"Worcester, Mass.",260000,12.3,18.1,90.6,6,Worcester
